index,ltres,qtres,pathomit,file_path,similarity
1,0,0,1,1.svg,71.09566816051554
2,0,0,10,2.svg,71.09566816051554
3,0,0,100,3.svg,71.09566816051554
4,0,2,1,4.svg,70.87296906863715
5,0,2,10,5.svg,70.87296906863715
6,0,2,100,6.svg,70.87296906863715
7,0,4,1,7.svg,70.7941208309176
8,0,4,10,8.svg,70.7941208309176
9,0,4,100,9.svg,70.7941208309176
10,0,6,1,10.svg,70.74042301124194
11,0,6,10,11.svg,70.74042301124194
12,0,6,100,12.svg,70.74042301124194
13,0,8,1,13.svg,70.68360525885036
14,0,8,10,14.svg,70.68360525885036
15,0,8,100,15.svg,70.68360525885036
16,2,0,1,16.svg,70.71077902135721
17,2,0,10,17.svg,70.71077902135721
18,2,0,100,18.svg,70.71077902135721
19,2,2,1,19.svg,70.69901768793349
20,2,2,10,20.svg,70.69901768793349
21,2,2,100,21.svg,70.69901768793349
22,2,4,1,22.svg,70.67834057733432
23,2,4,10,23.svg,70.67834057733432
24,2,4,100,24.svg,70.67834057733432
25,2,6,1,25.svg,70.66163537010608
26,2,6,10,26.svg,70.66163537010608
27,2,6,100,27.svg,70.66163537010608
28,2,8,1,28.svg,70.64350199764498
29,2,8,10,29.svg,70.64350199764498
30,2,8,100,30.svg,70.64350199764498
31,4,0,1,31.svg,70.64172171410775
32,4,0,10,32.svg,70.64172171410775
33,4,0,100,33.svg,70.64172171410775
34,4,2,1,34.svg,70.6344916019586
35,4,2,10,35.svg,70.6344916019586
36,4,2,100,36.svg,70.6344916019586
37,4,4,1,37.svg,70.63195998635966
38,4,4,10,38.svg,70.63195998635966
39,4,4,100,39.svg,70.63195998635966
40,4,6,1,40.svg,70.62798377598413
41,4,6,10,41.svg,70.62798377598413
42,4,6,100,42.svg,70.62798377598413
43,4,8,1,43.svg,70.6285567091499
44,4,8,10,44.svg,70.6285567091499
45,4,8,100,45.svg,70.6285567091499
46,6,0,1,46.svg,70.62899115106414
47,6,0,10,47.svg,70.62899115106414
48,6,0,100,48.svg,70.62899115106414
49,6,2,1,49.svg,70.63539458893942
50,6,2,10,50.svg,70.63539458893942
51,6,2,100,51.svg,70.63539458893942
52,6,4,1,52.svg,70.62901681959542
53,6,4,10,53.svg,70.62901681959542
54,6,4,100,54.svg,70.62901681959542
55,6,6,1,55.svg,70.63020186888562
56,6,6,10,56.svg,70.63020186888562
57,6,6,100,57.svg,70.63020186888562
58,6,8,1,58.svg,70.62986856525342
59,6,8,10,59.svg,70.62986856525342
60,6,8,100,60.svg,70.62986856525342
61,8,0,1,61.svg,70.61378653223379
62,8,0,10,62.svg,70.61378653223379
63,8,0,100,63.svg,70.61378653223379
64,8,2,1,64.svg,70.61017072418242
65,8,2,10,65.svg,70.61017072418242
66,8,2,100,66.svg,70.61017072418242
67,8,4,1,67.svg,70.59992281854228
68,8,4,10,68.svg,70.59992281854228
69,8,4,100,69.svg,70.59992281854228
70,8,6,1,70.svg,70.60082049406645
71,8,6,10,71.svg,70.60082049406645
72,8,6,100,72.svg,70.60082049406645
73,8,8,1,73.svg,70.59947587418134
74,8,8,10,74.svg,70.59947587418134
75,8,8,100,75.svg,70.59947587418134
