index,ltres,qtres,pathomit,file_path,similarity
1,0,0,1,1.svg,71.68261155527823
2,0,0,10,2.svg,71.68261155527823
3,0,0,100,3.svg,71.68261155527823
4,0,2,1,4.svg,71.48424822574641
5,0,2,10,5.svg,71.48424822574641
6,0,2,100,6.svg,71.48424822574641
7,0,4,1,7.svg,71.33119643753224
8,0,4,10,8.svg,71.33119643753224
9,0,4,100,9.svg,71.33119643753224
10,0,6,1,10.svg,71.26515714666773
11,0,6,10,11.svg,71.26515714666773
12,0,6,100,12.svg,71.26515714666773
13,0,8,1,13.svg,71.18922880927802
14,0,8,10,14.svg,71.18922880927802
15,0,8,100,15.svg,71.18922880927802
16,2,0,1,16.svg,70.51960060575229
17,2,0,10,17.svg,70.51960060575229
18,2,0,100,18.svg,70.51960060575229
19,2,2,1,19.svg,70.52907744450869
20,2,2,10,20.svg,70.52907744450869
21,2,2,100,21.svg,70.52907744450869
22,2,4,1,22.svg,70.5063148115979
23,2,4,10,23.svg,70.5063148115979
24,2,4,100,24.svg,70.5063148115979
25,2,6,1,25.svg,70.496937329303
26,2,6,10,26.svg,70.496937329303
27,2,6,100,27.svg,70.496937329303
28,2,8,1,28.svg,70.46673132256952
29,2,8,10,29.svg,70.46673132256952
30,2,8,100,30.svg,70.46673132256952
31,4,0,1,31.svg,70.40390093849483
32,4,0,10,32.svg,70.40390093849483
33,4,0,100,33.svg,70.40390093849483
34,4,2,1,34.svg,70.3973831698748
35,4,2,10,35.svg,70.3973831698748
36,4,2,100,36.svg,70.3973831698748
37,4,4,1,37.svg,70.39489186734545
38,4,4,10,38.svg,70.39489186734545
39,4,4,100,39.svg,70.39489186734545
40,4,6,1,40.svg,70.38386567403768
41,4,6,10,41.svg,70.38386567403768
42,4,6,100,42.svg,70.38386567403768
43,4,8,1,43.svg,70.36894890365527
44,4,8,10,44.svg,70.36894890365527
45,4,8,100,45.svg,70.36894890365527
46,6,0,1,46.svg,70.3787814708309
47,6,0,10,47.svg,70.3787814708309
48,6,0,100,48.svg,70.3787814708309
49,6,2,1,49.svg,70.37733239846928
50,6,2,10,50.svg,70.37733239846928
51,6,2,100,51.svg,70.37733239846928
52,6,4,1,52.svg,70.38037789224622
53,6,4,10,53.svg,70.38037789224622
54,6,4,100,54.svg,70.38037789224622
55,6,6,1,55.svg,70.37075088187133
56,6,6,10,56.svg,70.37075088187133
57,6,6,100,57.svg,70.37075088187133
58,6,8,1,58.svg,70.36042482256981
59,6,8,10,59.svg,70.36042482256981
60,6,8,100,60.svg,70.36042482256981
61,8,0,1,61.svg,70.35153948380706
62,8,0,10,62.svg,70.35153948380706
63,8,0,100,63.svg,70.35153948380706
64,8,2,1,64.svg,70.34843666885925
65,8,2,10,65.svg,70.34843666885925
66,8,2,100,66.svg,70.34843666885925
67,8,4,1,67.svg,70.34802470624973
68,8,4,10,68.svg,70.34802470624973
69,8,4,100,69.svg,70.34802470624973
70,8,6,1,70.svg,70.34090805228179
71,8,6,10,71.svg,70.34090805228179
72,8,6,100,72.svg,70.34090805228179
73,8,8,1,73.svg,70.33396786317078
74,8,8,10,74.svg,70.33396786317078
75,8,8,100,75.svg,70.33396786317078
