index,ltres,qtres,pathomit,file_path,similarity
1,0,0,1,1.svg,67.99104313116977
2,0,0,10,2.svg,67.99104313116977
3,0,0,100,3.svg,67.99104313116977
4,0,2,1,4.svg,67.59495686353868
5,0,2,10,5.svg,67.59495686353868
6,0,2,100,6.svg,67.59495686353868
7,0,4,1,7.svg,67.40629865394943
8,0,4,10,8.svg,67.40629865394943
9,0,4,100,9.svg,67.40629865394943
10,0,6,1,10.svg,67.29941110841234
11,0,6,10,11.svg,67.29941110841234
12,0,6,100,12.svg,67.29941110841234
13,0,8,1,13.svg,67.14310692650544
14,0,8,10,14.svg,67.14310692650544
15,0,8,100,15.svg,67.14310692650544
16,2,0,1,16.svg,67.08479456855088
17,2,0,10,17.svg,67.08479456855088
18,2,0,100,18.svg,67.08479456855088
19,2,2,1,19.svg,67.10628868292163
20,2,2,10,20.svg,67.10628868292163
21,2,2,100,21.svg,67.10628868292163
22,2,4,1,22.svg,67.07628697159352
23,2,4,10,23.svg,67.07628697159352
24,2,4,100,24.svg,67.07628697159352
25,2,6,1,25.svg,67.03718759745195
26,2,6,10,26.svg,67.03718759745195
27,2,6,100,27.svg,67.03718759745195
28,2,8,1,28.svg,66.96449117609035
29,2,8,10,29.svg,66.96449117609035
30,2,8,100,30.svg,66.96449117609035
31,4,0,1,31.svg,66.94773569599897
32,4,0,10,32.svg,66.94773569599897
33,4,0,100,33.svg,66.94773569599897
34,4,2,1,34.svg,66.93954346755324
35,4,2,10,35.svg,66.93954346755324
36,4,2,100,36.svg,66.93954346755324
37,4,4,1,37.svg,66.92717656670936
38,4,4,10,38.svg,66.92717656670936
39,4,4,100,39.svg,66.92717656670936
40,4,6,1,40.svg,66.90739715524352
41,4,6,10,41.svg,66.90739715524352
42,4,6,100,42.svg,66.90739715524352
43,4,8,1,43.svg,66.876631521218
44,4,8,10,44.svg,66.876631521218
45,4,8,100,45.svg,66.876631521218
46,6,0,1,46.svg,66.91731920659622
47,6,0,10,47.svg,66.91731920659622
48,6,0,100,48.svg,66.91731920659622
49,6,2,1,49.svg,66.91739202189667
50,6,2,10,50.svg,66.91739202189667
51,6,2,100,51.svg,66.91739202189667
52,6,4,1,52.svg,66.90981563459007
53,6,4,10,53.svg,66.90981563459007
54,6,4,100,54.svg,66.90981563459007
55,6,6,1,55.svg,66.89997663648285
56,6,6,10,56.svg,66.89997663648285
57,6,6,100,57.svg,66.89997663648285
58,6,8,1,58.svg,66.88246630174731
59,6,8,10,59.svg,66.88246630174731
60,6,8,100,60.svg,66.88246630174731
61,8,0,1,61.svg,66.89323793537886
62,8,0,10,62.svg,66.89323793537886
63,8,0,100,63.svg,66.89323793537886
64,8,2,1,64.svg,66.89279691697907
65,8,2,10,65.svg,66.89279691697907
66,8,2,100,66.svg,66.89279691697907
67,8,4,1,67.svg,66.8848632327924
68,8,4,10,68.svg,66.8848632327924
69,8,4,100,69.svg,66.8848632327924
70,8,6,1,70.svg,66.86993427378101
71,8,6,10,71.svg,66.86993427378101
72,8,6,100,72.svg,66.86993427378101
73,8,8,1,73.svg,66.85028526322888
74,8,8,10,74.svg,66.85028526322888
75,8,8,100,75.svg,66.85028526322888
