index,ltres,qtres,pathomit,file_path,similarity
1,0,0,1,1.svg,58.35010888391265
2,0,0,10,2.svg,58.35010888391265
3,0,0,100,3.svg,58.35010888391265
4,0,2,1,4.svg,58.35011377604439
5,0,2,10,5.svg,58.35011377604439
6,0,2,100,6.svg,58.35011377604439
7,0,4,1,7.svg,58.35011330041772
8,0,4,10,8.svg,58.35011330041772
9,0,4,100,9.svg,58.35011330041772
10,0,6,1,10.svg,58.35011330041772
11,0,6,10,11.svg,58.35011330041772
12,0,6,100,12.svg,58.35011330041772
13,0,8,1,13.svg,58.35011330041772
14,0,8,10,14.svg,58.35011330041772
15,0,8,100,15.svg,58.35011330041772
16,2,0,1,16.svg,58.34922848448707
17,2,0,10,17.svg,58.34922848448707
18,2,0,100,18.svg,58.34922848448707
19,2,2,1,19.svg,58.34922848448707
20,2,2,10,20.svg,58.34922848448707
21,2,2,100,21.svg,58.34922848448707
22,2,4,1,22.svg,58.34922848448707
23,2,4,10,23.svg,58.34922848448707
24,2,4,100,24.svg,58.34922848448707
25,2,6,1,25.svg,58.34922848448707
26,2,6,10,26.svg,58.34922848448707
27,2,6,100,27.svg,58.34922848448707
28,2,8,1,28.svg,58.34922848448707
29,2,8,10,29.svg,58.34922848448707
30,2,8,100,30.svg,58.34922848448707
31,4,0,1,31.svg,58.34922848448707
32,4,0,10,32.svg,58.34922848448707
33,4,0,100,33.svg,58.34922848448707
34,4,2,1,34.svg,58.34922848448707
35,4,2,10,35.svg,58.34922848448707
36,4,2,100,36.svg,58.34922848448707
37,4,4,1,37.svg,58.34922848448707
38,4,4,10,38.svg,58.34922848448707
39,4,4,100,39.svg,58.34922848448707
40,4,6,1,40.svg,58.34922848448707
41,4,6,10,41.svg,58.34922848448707
42,4,6,100,42.svg,58.34922848448707
43,4,8,1,43.svg,58.34922848448707
44,4,8,10,44.svg,58.34922848448707
45,4,8,100,45.svg,58.34922848448707
46,6,0,1,46.svg,58.34922848448707
47,6,0,10,47.svg,58.34922848448707
48,6,0,100,48.svg,58.34922848448707
49,6,2,1,49.svg,58.34922848448707
50,6,2,10,50.svg,58.34922848448707
51,6,2,100,51.svg,58.34922848448707
52,6,4,1,52.svg,58.34922848448707
53,6,4,10,53.svg,58.34922848448707
54,6,4,100,54.svg,58.34922848448707
55,6,6,1,55.svg,58.34922848448707
56,6,6,10,56.svg,58.34922848448707
57,6,6,100,57.svg,58.34922848448707
58,6,8,1,58.svg,58.34922848448707
59,6,8,10,59.svg,58.34922848448707
60,6,8,100,60.svg,58.34922848448707
61,8,0,1,61.svg,58.34922848448707
62,8,0,10,62.svg,58.34922848448707
63,8,0,100,63.svg,58.34922848448707
64,8,2,1,64.svg,58.34922848448707
65,8,2,10,65.svg,58.34922848448707
66,8,2,100,66.svg,58.34922848448707
67,8,4,1,67.svg,58.34922848448707
68,8,4,10,68.svg,58.34922848448707
69,8,4,100,69.svg,58.34922848448707
70,8,6,1,70.svg,58.34922848448707
71,8,6,10,71.svg,58.34922848448707
72,8,6,100,72.svg,58.34922848448707
73,8,8,1,73.svg,58.34922848448707
74,8,8,10,74.svg,58.34922848448707
75,8,8,100,75.svg,58.34922848448707
