index,ltres,qtres,pathomit,file_path,similarity
1,0,0,1,1.svg,64.74686542764479
2,0,0,10,2.svg,64.74686542764479
3,0,0,100,3.svg,64.74686542764479
4,0,2,1,4.svg,64.74686600254101
5,0,2,10,5.svg,64.74686600254101
6,0,2,100,6.svg,64.74686600254101
7,0,4,1,7.svg,64.74686607968825
8,0,4,10,8.svg,64.74686607968825
9,0,4,100,9.svg,64.74686607968825
10,0,6,1,10.svg,64.74686607968825
11,0,6,10,11.svg,64.74686607968825
12,0,6,100,12.svg,64.74686607968825
13,0,8,1,13.svg,64.74686631753444
14,0,8,10,14.svg,64.74686631753444
15,0,8,100,15.svg,64.74686631753444
16,2,0,1,16.svg,64.74679402654449
17,2,0,10,17.svg,64.74679402654449
18,2,0,100,18.svg,64.74679402654449
19,2,2,1,19.svg,64.74679402654449
20,2,2,10,20.svg,64.74679402654449
21,2,2,100,21.svg,64.74679402654449
22,2,4,1,22.svg,64.74679402654449
23,2,4,10,23.svg,64.74679402654449
24,2,4,100,24.svg,64.74679402654449
25,2,6,1,25.svg,64.74679402654449
26,2,6,10,26.svg,64.74679402654449
27,2,6,100,27.svg,64.74679402654449
28,2,8,1,28.svg,64.74679402654449
29,2,8,10,29.svg,64.74679402654449
30,2,8,100,30.svg,64.74679402654449
31,4,0,1,31.svg,64.74679402654449
32,4,0,10,32.svg,64.74679402654449
33,4,0,100,33.svg,64.74679402654449
34,4,2,1,34.svg,64.74679402654449
35,4,2,10,35.svg,64.74679402654449
36,4,2,100,36.svg,64.74679402654449
37,4,4,1,37.svg,64.74679402654449
38,4,4,10,38.svg,64.74679402654449
39,4,4,100,39.svg,64.74679402654449
40,4,6,1,40.svg,64.74679402654449
41,4,6,10,41.svg,64.74679402654449
42,4,6,100,42.svg,64.74679402654449
43,4,8,1,43.svg,64.74679402654449
44,4,8,10,44.svg,64.74679402654449
45,4,8,100,45.svg,64.74679402654449
46,6,0,1,46.svg,64.74679402654449
47,6,0,10,47.svg,64.74679402654449
48,6,0,100,48.svg,64.74679402654449
49,6,2,1,49.svg,64.74679402654449
50,6,2,10,50.svg,64.74679402654449
51,6,2,100,51.svg,64.74679402654449
52,6,4,1,52.svg,64.74679402654449
53,6,4,10,53.svg,64.74679402654449
54,6,4,100,54.svg,64.74679402654449
55,6,6,1,55.svg,64.74679402654449
56,6,6,10,56.svg,64.74679402654449
57,6,6,100,57.svg,64.74679402654449
58,6,8,1,58.svg,64.74679402654449
59,6,8,10,59.svg,64.74679402654449
60,6,8,100,60.svg,64.74679402654449
61,8,0,1,61.svg,64.74679402654449
62,8,0,10,62.svg,64.74679402654449
63,8,0,100,63.svg,64.74679402654449
64,8,2,1,64.svg,64.74679402654449
65,8,2,10,65.svg,64.74679402654449
66,8,2,100,66.svg,64.74679402654449
67,8,4,1,67.svg,64.74679402654449
68,8,4,10,68.svg,64.74679402654449
69,8,4,100,69.svg,64.74679402654449
70,8,6,1,70.svg,64.74679402654449
71,8,6,10,71.svg,64.74679402654449
72,8,6,100,72.svg,64.74679402654449
73,8,8,1,73.svg,64.74679402654449
74,8,8,10,74.svg,64.74679402654449
75,8,8,100,75.svg,64.74679402654449
