index,ltres,qtres,pathomit,file_path,similarity
1,0,0,1,1.svg,55.95250535005841
2,0,0,10,2.svg,55.95250535005841
3,0,0,100,3.svg,55.95250535005841
4,0,2,1,4.svg,55.952505308265664
5,0,2,10,5.svg,55.952505308265664
6,0,2,100,6.svg,55.952505308265664
7,0,4,1,7.svg,55.95250546828233
8,0,4,10,8.svg,55.95250546828233
9,0,4,100,9.svg,55.95250546828233
10,0,6,1,10.svg,55.95250546828233
11,0,6,10,11.svg,55.95250546828233
12,0,6,100,12.svg,55.95250546828233
13,0,8,1,13.svg,55.95250569605971
14,0,8,10,14.svg,55.95250569605971
15,0,8,100,15.svg,55.95250569605971
16,2,0,1,16.svg,55.95251755599221
17,2,0,10,17.svg,55.95251755599221
18,2,0,100,18.svg,55.95251755599221
19,2,2,1,19.svg,55.95251755599221
20,2,2,10,20.svg,55.95251755599221
21,2,2,100,21.svg,55.95251755599221
22,2,4,1,22.svg,55.95251755599221
23,2,4,10,23.svg,55.95251755599221
24,2,4,100,24.svg,55.95251755599221
25,2,6,1,25.svg,55.95251755599221
26,2,6,10,26.svg,55.95251755599221
27,2,6,100,27.svg,55.95251755599221
28,2,8,1,28.svg,55.95251755599221
29,2,8,10,29.svg,55.95251755599221
30,2,8,100,30.svg,55.95251755599221
31,4,0,1,31.svg,55.95251755599221
32,4,0,10,32.svg,55.95251755599221
33,4,0,100,33.svg,55.95251755599221
34,4,2,1,34.svg,55.95251755599221
35,4,2,10,35.svg,55.95251755599221
36,4,2,100,36.svg,55.95251755599221
37,4,4,1,37.svg,55.95251755599221
38,4,4,10,38.svg,55.95251755599221
39,4,4,100,39.svg,55.95251755599221
40,4,6,1,40.svg,55.95251755599221
41,4,6,10,41.svg,55.95251755599221
42,4,6,100,42.svg,55.95251755599221
43,4,8,1,43.svg,55.95251755599221
44,4,8,10,44.svg,55.95251755599221
45,4,8,100,45.svg,55.95251755599221
46,6,0,1,46.svg,55.95251755599221
47,6,0,10,47.svg,55.95251755599221
48,6,0,100,48.svg,55.95251755599221
49,6,2,1,49.svg,55.95251755599221
50,6,2,10,50.svg,55.95251755599221
51,6,2,100,51.svg,55.95251755599221
52,6,4,1,52.svg,55.95251755599221
53,6,4,10,53.svg,55.95251755599221
54,6,4,100,54.svg,55.95251755599221
55,6,6,1,55.svg,55.95251755599221
56,6,6,10,56.svg,55.95251755599221
57,6,6,100,57.svg,55.95251755599221
58,6,8,1,58.svg,55.95251755599221
59,6,8,10,59.svg,55.95251755599221
60,6,8,100,60.svg,55.95251755599221
61,8,0,1,61.svg,55.95251755599221
62,8,0,10,62.svg,55.95251755599221
63,8,0,100,63.svg,55.95251755599221
64,8,2,1,64.svg,55.95251755599221
65,8,2,10,65.svg,55.95251755599221
66,8,2,100,66.svg,55.95251755599221
67,8,4,1,67.svg,55.95251755599221
68,8,4,10,68.svg,55.95251755599221
69,8,4,100,69.svg,55.95251755599221
70,8,6,1,70.svg,55.95251755599221
71,8,6,10,71.svg,55.95251755599221
72,8,6,100,72.svg,55.95251755599221
73,8,8,1,73.svg,55.95251755599221
74,8,8,10,74.svg,55.95251755599221
75,8,8,100,75.svg,55.95251755599221
