index,ltres,qtres,pathomit,file_path,similarity
1,0,0,1,1.svg,78.48586925043054
2,0,0,10,2.svg,78.48586925043054
3,0,0,100,3.svg,78.48586925043054
4,0,2,1,4.svg,78.48586974239403
5,0,2,10,5.svg,78.48586974239403
6,0,2,100,6.svg,78.48586974239403
7,0,4,1,7.svg,78.48586943491114
8,0,4,10,8.svg,78.48586943491114
9,0,4,100,9.svg,78.48586943491114
10,0,6,1,10.svg,78.48586943491114
11,0,6,10,11.svg,78.48586943491114
12,0,6,100,12.svg,78.48586943491114
13,0,8,1,13.svg,78.48586957870171
14,0,8,10,14.svg,78.48586957870171
15,0,8,100,15.svg,78.48586957870171
16,2,0,1,16.svg,78.48579606284378
17,2,0,10,17.svg,78.48579606284378
18,2,0,100,18.svg,78.48579606284378
19,2,2,1,19.svg,78.48579606284378
20,2,2,10,20.svg,78.48579606284378
21,2,2,100,21.svg,78.48579606284378
22,2,4,1,22.svg,78.48579606284378
23,2,4,10,23.svg,78.48579606284378
24,2,4,100,24.svg,78.48579606284378
25,2,6,1,25.svg,78.48579606284378
26,2,6,10,26.svg,78.48579606284378
27,2,6,100,27.svg,78.48579606284378
28,2,8,1,28.svg,78.48579606284378
29,2,8,10,29.svg,78.48579606284378
30,2,8,100,30.svg,78.48579606284378
31,4,0,1,31.svg,78.48579606284378
32,4,0,10,32.svg,78.48579606284378
33,4,0,100,33.svg,78.48579606284378
34,4,2,1,34.svg,78.48579606284378
35,4,2,10,35.svg,78.48579606284378
36,4,2,100,36.svg,78.48579606284378
37,4,4,1,37.svg,78.48579606284378
38,4,4,10,38.svg,78.48579606284378
39,4,4,100,39.svg,78.48579606284378
40,4,6,1,40.svg,78.48579606284378
41,4,6,10,41.svg,78.48579606284378
42,4,6,100,42.svg,78.48579606284378
43,4,8,1,43.svg,78.48579606284378
44,4,8,10,44.svg,78.48579606284378
45,4,8,100,45.svg,78.48579606284378
46,6,0,1,46.svg,78.48579606284378
47,6,0,10,47.svg,78.48579606284378
48,6,0,100,48.svg,78.48579606284378
49,6,2,1,49.svg,78.48579606284378
50,6,2,10,50.svg,78.48579606284378
51,6,2,100,51.svg,78.48579606284378
52,6,4,1,52.svg,78.48579606284378
53,6,4,10,53.svg,78.48579606284378
54,6,4,100,54.svg,78.48579606284378
55,6,6,1,55.svg,78.48579606284378
56,6,6,10,56.svg,78.48579606284378
57,6,6,100,57.svg,78.48579606284378
58,6,8,1,58.svg,78.48579606284378
59,6,8,10,59.svg,78.48579606284378
60,6,8,100,60.svg,78.48579606284378
61,8,0,1,61.svg,78.48579606284378
62,8,0,10,62.svg,78.48579606284378
63,8,0,100,63.svg,78.48579606284378
64,8,2,1,64.svg,78.48579606284378
65,8,2,10,65.svg,78.48579606284378
66,8,2,100,66.svg,78.48579606284378
67,8,4,1,67.svg,78.48579606284378
68,8,4,10,68.svg,78.48579606284378
69,8,4,100,69.svg,78.48579606284378
70,8,6,1,70.svg,78.48579606284378
71,8,6,10,71.svg,78.48579606284378
72,8,6,100,72.svg,78.48579606284378
73,8,8,1,73.svg,78.48579606284378
74,8,8,10,74.svg,78.48579606284378
75,8,8,100,75.svg,78.48579606284378
