index,ltres,qtres,pathomit,file_path,similarity
1,0,0,1,1.svg,62.25273608559696
2,0,0,10,2.svg,62.25273608559696
3,0,0,100,3.svg,62.25273608559696
4,0,2,1,4.svg,62.25273752944168
5,0,2,10,5.svg,62.25273752944168
6,0,2,100,6.svg,62.25273752944168
7,0,4,1,7.svg,62.25273729131967
8,0,4,10,8.svg,62.25273729131967
9,0,4,100,9.svg,62.25273729131967
10,0,6,1,10.svg,62.25273729131967
11,0,6,10,11.svg,62.25273729131967
12,0,6,100,12.svg,62.25273729131967
13,0,8,1,13.svg,62.25273759843334
14,0,8,10,14.svg,62.25273759843334
15,0,8,100,15.svg,62.25273759843334
16,2,0,1,16.svg,62.25271998616747
17,2,0,10,17.svg,62.25271998616747
18,2,0,100,18.svg,62.25271998616747
19,2,2,1,19.svg,62.25271998616747
20,2,2,10,20.svg,62.25271998616747
21,2,2,100,21.svg,62.25271998616747
22,2,4,1,22.svg,62.25271998616747
23,2,4,10,23.svg,62.25271998616747
24,2,4,100,24.svg,62.25271998616747
25,2,6,1,25.svg,62.25271998616747
26,2,6,10,26.svg,62.25271998616747
27,2,6,100,27.svg,62.25271998616747
28,2,8,1,28.svg,62.25271998616747
29,2,8,10,29.svg,62.25271998616747
30,2,8,100,30.svg,62.25271998616747
31,4,0,1,31.svg,62.25271998616747
32,4,0,10,32.svg,62.25271998616747
33,4,0,100,33.svg,62.25271998616747
34,4,2,1,34.svg,62.25271998616747
35,4,2,10,35.svg,62.25271998616747
36,4,2,100,36.svg,62.25271998616747
37,4,4,1,37.svg,62.25271998616747
38,4,4,10,38.svg,62.25271998616747
39,4,4,100,39.svg,62.25271998616747
40,4,6,1,40.svg,62.25271998616747
41,4,6,10,41.svg,62.25271998616747
42,4,6,100,42.svg,62.25271998616747
43,4,8,1,43.svg,62.25271998616747
44,4,8,10,44.svg,62.25271998616747
45,4,8,100,45.svg,62.25271998616747
46,6,0,1,46.svg,62.25271998616747
47,6,0,10,47.svg,62.25271998616747
48,6,0,100,48.svg,62.25271998616747
49,6,2,1,49.svg,62.25271998616747
50,6,2,10,50.svg,62.25271998616747
51,6,2,100,51.svg,62.25271998616747
52,6,4,1,52.svg,62.25271998616747
53,6,4,10,53.svg,62.25271998616747
54,6,4,100,54.svg,62.25271998616747
55,6,6,1,55.svg,62.25271998616747
56,6,6,10,56.svg,62.25271998616747
57,6,6,100,57.svg,62.25271998616747
58,6,8,1,58.svg,62.25271998616747
59,6,8,10,59.svg,62.25271998616747
60,6,8,100,60.svg,62.25271998616747
61,8,0,1,61.svg,62.25271998616747
62,8,0,10,62.svg,62.25271998616747
63,8,0,100,63.svg,62.25271998616747
64,8,2,1,64.svg,62.25271998616747
65,8,2,10,65.svg,62.25271998616747
66,8,2,100,66.svg,62.25271998616747
67,8,4,1,67.svg,62.25271998616747
68,8,4,10,68.svg,62.25271998616747
69,8,4,100,69.svg,62.25271998616747
70,8,6,1,70.svg,62.25271998616747
71,8,6,10,71.svg,62.25271998616747
72,8,6,100,72.svg,62.25271998616747
73,8,8,1,73.svg,62.25271998616747
74,8,8,10,74.svg,62.25271998616747
75,8,8,100,75.svg,62.25271998616747
